111.25,-81.33,209.50,-82.83
209.50,-82.83,207.75,-74.33
207.75,-74.33,170.00,-74.33
170.00,-74.33,135.12,-74.50
135.12,-74.50,114.25,-74.67
114.25,-74.67,111.25,-81.33
207.75,-74.33,207.50,-69.33
207.50,-69.33,207.50,-64.42
207.50,-64.42,204.88,-64.42
204.88,-64.42,204.88,-63.42
204.88,-63.42,194.50,-63.33
194.50,-63.33,179.00,-63.33
179.00,-63.33,170.00,-63.33
170.00,-63.33,170.00,-74.33
224.00,-69.50,258.50,-69.83
258.50,-69.83,258.12,-66.25
258.12,-66.25,255.63,-66.25
255.63,-66.25,255.63,-64.67
255.63,-64.67,254.25,-64.67
254.25,-64.67,254.25,-62.08
254.25,-62.08,251.75,-62.08
251.75,-62.08,251.75,-60.67
251.75,-60.67,249.00,-60.67
249.00,-60.67,249.00,-59.67
249.00,-59.67,232.50,-59.58
232.50,-59.58,232.50,-60.58
232.50,-60.58,230.00,-60.58
230.00,-60.58,230.00,-63.92
230.00,-63.92,226.25,-63.92
226.25,-63.92,226.25,-68.00
226.25,-68.00,224.00,-68.00
224.00,-68.00,224.00,-69.50
209.50,-82.83,277.00,-81.50
277.00,-81.50,274.00,-75.00
274.00,-75.00,273.25,-66.50
273.25,-66.50,265.62,-66.42
265.62,-66.42,258.12,-66.25
224.00,-69.50,207.50,-69.33
207.50,-69.33,207.75,-74.33
274.00,-75.00,323.00,-73.58
323.00,-73.58,322.50,-58.50
322.50,-58.50,307.50,-58.42
307.50,-58.42,307.50,-55.33
307.50,-55.33,272.50,-57.00
272.50,-57.00,265.12,-57.00
265.12,-57.00,265.62,-66.42
323.00,-73.58,352.00,-73.67
352.00,-73.67, 1.75,-73.67
 1.75,-73.67, 1.75,-80.17
 1.75,-80.17,50.00,-81.92
50.00,-81.92,46.38,-83.42
46.38,-83.42,107.50,-84.83
107.50,-84.83,111.25,-81.33
307.50,-55.33,307.12,-44.83
307.12,-44.83,289.62,-44.75
289.62,-44.75,272.25,-44.50
272.25,-44.50,272.50,-57.00
352.00,-73.67,351.87,-65.25
351.87,-65.25,332.50,-65.17
332.50,-65.17,332.00,-55.67
332.00,-55.67,332.00,-48.67
332.00,-48.67,322.12,-48.58
322.12,-48.58,322.12,-45.00
322.12,-45.00,307.12,-44.83
 1.75,-73.67,12.50,-73.67
12.50,-73.67,12.50,-74.67
12.50,-74.67,20.50,-74.67
20.50,-74.67,21.25,-56.17
21.25,-56.17,351.75,-56.25
351.75,-56.25,351.75,-55.67
351.75,-55.67,332.00,-55.67
98.50,-69.92,68.75,-68.25
50.00,-81.92,52.00,-73.42
52.00,-73.42,68.00,-73.25
68.00,-73.25,68.75,-68.25
68.75,-68.25,68.75,-66.75
68.75,-66.75,48.25,-67.00
48.25,-67.00,33.25,-67.00
33.25,-67.00,33.50,-56.08
33.50,-56.08,21.25,-56.17
97.75,-74.83,114.25,-74.67
135.12,-74.50,136.12,-63.50
136.12,-63.50,102.75,-63.83
102.75,-63.83,98.88,-63.92
98.88,-63.92,98.50,-69.92
98.50,-69.92,97.75,-74.83
166.25,-56.83,170.00,-56.83
170.00,-56.83,170.00,-63.33
179.00,-63.33,179.00,-54.33
179.00,-54.33,194.50,-54.33
194.50,-54.33,194.50,-63.33
204.88,-63.42,220.50,-63.50
220.50,-63.50,220.25,-54.50
220.25,-54.50,214.50,-54.33
214.50,-54.33,214.37,-41.42
214.37,-41.42,225.75,-41.50
225.75,-41.50,225.62,-30.00
225.62,-30.00,190.37,-29.83
190.37,-29.83,190.37,-32.33
190.37,-32.33,185.50,-32.33
185.50,-32.33,185.50,-34.33
185.50,-34.33,166.50,-34.33
166.50,-34.33,166.25,-56.83
225.62,-30.00,237.00,-28.17
207.50,-69.33,224.00,-69.50
232.50,-59.58,232.50,-54.58
232.50,-54.58,228.12,-54.50
228.12,-54.50,220.25,-54.50
249.00,-59.67,248.50,-44.25
248.50,-44.25,248.50,-41.67
248.50,-41.67,242.00,-41.67
242.00,-41.67,237.13,-41.67
237.13,-41.67,237.25,-47.67
237.25,-47.67,232.25,-47.67
232.25,-47.67,232.25,-53.50
232.25,-53.50,228.12,-53.50
228.12,-53.50,228.12,-54.50
272.25,-44.50,269.75,-44.50
269.62,-36.92,269.75,-44.50
269.75,-44.50,248.50,-44.25
133.25,-55.00,127.50,-55.00
127.50,-55.00,127.50,-52.50
127.50,-52.50,123.50,-52.50
123.50,-52.50,123.50,-50.83
123.50,-50.83,120.75,-50.92
120.75,-50.92,90.62,-49.17
90.62,-49.17,90.62,-51.50
90.62,-51.50,93.00,-51.50
93.00,-51.50,93.00,-55.00
93.00,-55.00,98.25,-54.92
98.25,-54.92,98.25,-57.83
98.25,-57.83,103.00,-57.83
103.00,-57.83,102.75,-63.83
133.25,-57.00,166.25,-56.83
166.25,-56.83,166.38,-39.58
166.38,-39.58,141.75,-39.75
141.75,-39.75,141.75,-36.75
141.75,-36.75,126.75,-36.83
126.75,-36.83,126.50,-42.67
126.50,-42.67,121.00,-42.67
121.00,-42.67,120.75,-50.92
133.25,-55.00,133.25,-57.00
90.25,-64.00,98.88,-63.92
90.62,-49.17,90.75,-43.00
90.75,-43.00,76.00,-41.17
76.00,-41.17,73.38,-41.17
73.38,-41.17,73.38,-45.67
73.38,-45.67,68.50,-45.67
68.50,-45.67,68.50,-47.25
68.50,-47.25,68.25,-52.25
68.25,-52.25,75.62,-52.17
75.62,-52.17,75.62,-56.67
75.62,-56.67,83.00,-56.67
83.00,-56.67,82.88,-59.17
82.88,-59.17,90.25,-61.00
90.25,-61.00,90.25,-64.00
48.25,-67.00,48.75,-56.92
48.75,-56.92,53.25,-56.83
53.25,-56.83,53.25,-51.25
53.25,-51.25,58.25,-51.17
58.25,-51.17,58.25,-49.33
58.25,-49.33,62.13,-49.33
62.13,-49.33,62.13,-47.25
62.13,-47.25,64.88,-47.25
64.88,-47.25,65.00,-38.33
65.00,-38.33,57.88,-38.33
57.88,-38.33,57.88,-42.42
57.88,-42.42,52.38,-42.50
52.38,-42.50,52.38,-44.50
52.38,-44.50,46.00,-44.50
46.00,-44.50,46.00,-47.50
46.00,-47.50,41.00,-47.58
41.00,-47.58,41.00,-49.58
41.00,-49.58,37.38,-49.58
37.38,-49.58,37.38,-52.50
37.38,-52.50,33.62,-52.50
33.62,-52.50,33.50,-56.08
68.50,-47.25,62.13,-47.25
68.75,-66.75,69.38,-57.25
69.38,-57.25,65.62,-57.25
65.62,-57.25,65.62,-55.75
65.62,-55.75,60.75,-55.75
60.75,-55.75,60.75,-51.17
60.75,-51.17,58.38,-51.17
58.38,-51.17,53.25,-51.25
307.12,-44.83,307.00,-26.33
307.00,-26.33,302.00,-26.33
302.00,-26.33,301.75,-10.33
301.75,-10.33,284.75,-10.17
284.75,-10.17,284.75,-14.17
284.75,-14.17,275.50,-14.08
275.50,-14.08,265.87,-15.92
265.87,-15.92,266.00,-29.92
266.00,-29.92,269.50,-30.00
269.50,-30.00,269.62,-36.92
269.62,-36.92,289.62,-35.25
289.62,-35.25,289.62,-44.75
21.25,-56.33,21.25,-51.17
21.25,-51.17,24.87,-51.08
24.87,-51.08,24.87,-49.08
24.87,-49.08,28.75,-49.08
28.75,-49.08,28.75,-46.50
28.75,-46.50,36.25,-46.42
36.25,-46.42,36.25,-38.58
36.25,-38.58,26.38,-38.67
26.38,-38.67,351.62,-38.67
351.62,-38.67,351.75,-55.67
346.75,-23.17,346.75,-35.67
351.62,-38.67,351.62,-35.67
351.62,-35.67,346.75,-35.67
346.75,-35.67,322.00,-35.50
322.00,-35.50,322.12,-45.00
321.88,-26.50,322.00,-35.50
266.00,-29.92,253.25,-29.83
253.25,-29.83,253.12,-23.17
253.12,-23.17,245.75,-23.17
245.75,-23.17,245.75,-18.50
245.75,-18.50,247.50,-18.50
247.50,-18.50,247.50,-17.50
247.50,-17.50,245.75,-17.50
245.75,-17.50,245.75,-7.67
245.75,-7.67,240.37,-7.67
240.37,-7.67,240.50,-19.67
240.50,-19.67,236.87,-19.67
236.87,-19.67,237.00,-28.17
237.00,-28.17,241.88,-28.17
241.88,-28.17,242.00,-41.67
164.00,-24.83,179.12,-24.83
179.12,-24.83,179.12,-10.33
179.12,-10.33,179.12,-5.25
179.12,-5.25,174.50,-5.33
174.50,-5.33,162.87,-5.33
162.87,-5.33,162.87,-10.33
162.87,-10.33,162.75,-18.33
162.75,-18.33,164.00,-18.33
164.00,-18.33,164.00,-24.83
179.12,-24.83,190.37,-24.83
190.37,-24.83,190.37,-21.33
190.37,-21.33,194.25,-21.33
194.25,-21.33,194.25,-10.33
194.25,-10.33,179.12,-10.33
215.50,-24.92,225.62,-25.00
225.62,-25.00,225.62,-30.00
240.37,-7.67,240.37,-2.33
240.37,-2.33,227.88,-2.33
227.88,-2.33,227.88,0.50
227.88,0.50,221.62,0.50
221.62,0.50,221.62,-7.50
221.62,-7.50,215.50,-7.50
215.50,-7.50,215.50,-24.92
194.25,-21.33,215.50,-21.42
307.00,-26.33,321.88,-26.50
321.88,-26.50,321.88,-25.00
321.88,-25.00,329.75,-23.08
329.75,-23.08,329.62,-7.50
329.62,-7.50,321.75,-7.50
321.75,-7.50,321.75,-13.50
321.75,-13.50,309.62,-13.42
309.62,-13.42,309.62,-7.42
309.62,-7.42,301.75,-7.33
301.75,-7.33,301.75,-10.33
329.75,-23.08,346.75,-23.17
346.75,-23.17,359.12,-23.17
359.12,-23.17,359.25,-5.67
359.25,-5.67,359.25,-2.75
359.25,-2.75,342.88,-2.67
342.88,-2.67,342.88,2.67
342.88,2.67,331.62,2.67
331.62,2.67,331.62,2.25
331.62,2.25,326.62,2.25
326.62,2.25,326.62,3.33
326.62,3.33,323.62,3.33
323.62,3.33,323.62,2.50
323.62,2.50,321.62,2.50
321.62,2.50,314.12,2.42
314.12,2.42,309.62,2.42
309.62,2.42,309.62,-7.42
26.38,-38.67,26.50,-23.17
26.50,-23.17,359.12,-23.17
36.25,-38.58,46.13,-38.50
46.13,-38.50,46.13,-38.83
46.13,-38.83,53.62,-38.83
53.62,-38.83,53.62,-34.33
53.62,-34.33,57.50,-34.33
57.50,-34.33,57.50,-24.00
57.50,-24.00,41.12,-22.17
41.12,-22.17,26.50,-22.25
26.50,-22.25,26.50,-23.17
166.50,-34.33,164.00,-34.33
164.00,-34.33,164.00,-30.17
164.00,-30.17,160.25,-30.17
160.25,-30.17,160.25,-28.17
160.25,-28.17,155.25,-28.17
155.25,-28.17,155.25,-26.83
155.25,-26.83,147.62,-26.92
147.62,-26.92,147.62,-23.50
147.62,-23.50,141.87,-23.50
141.87,-23.50,141.75,-36.75
141.87,-23.50,137.75,-23.50
137.75,-23.50,137.75,-18.50
137.75,-18.50,130.12,-18.50
130.12,-18.50,130.12,-16.58
130.12,-16.58,127.00,-16.58
127.00,-16.58,126.75,-36.83
76.00,-41.17,76.25,-26.92
