"Boston, MA, USA",42.3,-71.1,America/New_York
"South Hadley, MA, USA",42.24,-72.57,America/New_York
"Flin Flon, MB, Canada",54.77,-101.88,America/Winnipeg
"Reykjavik, Iceland",64.15,-21.95,Atlantic/Reykjavik
"Greenwich, UK",51.46,0.0,Europe/London
